protein	log2FC	p-val
sp|P0A715|KDSA_ECOLI	0.036	0.678
sp|P08839|PT1_ECOLI	-0.285	3.711e-06
sp|P0C0V0|DEGP_ECOLI	0.118	0.287
sp|P37902|GLTI_ECOLI	1.227	0.0
sp|P0AFG8|ODP1_ECOLI	-0.653	0.0
sp|P23845|CYSN_ECOLI	-0.099	0.06
sp|P00956|SYI_ECOLI	-0.156	0.0003422
sp|P09151|LEU1_ECOLI	-0.48	3.109e-15
sp|P39411|NCPP_ECOLI	0.193	0.397
sp|P0AFD1|NUOE_ECOLI	1.082	1.108e-08
sp|P0ACE7|HINT_ECOLI	-0.128	0.155
sp|P24186|FOLD_ECOLI	-0.471	2.358e-06
sp|P0AB12|YCCF_ECOLI	-0.396	0.134
sp|P76243|YEAO_ECOLI	-0.974	0.0002564
sp|P29018|CYDD_ECOLI	-0.432	0.008
sp|P45578|LUXS_ECOLI	-0.26	0.045
sp|P0A8C1|YBJQ_ECOLI	0.383	0.131
sp|P0AE52|BCP_ECOLI	-0.14	0.221
sp|P0CB39|EPTC_ECOLI	0.369	0.092
sp|P25742|RFAQ_ECOLI	0.104	0.483
sp|P00363|FRDA_ECOLI	2.469	0.0
sp|P52007|YECM_ECOLI	-0.171	0.426
sp|P0A8R9|HDFR_ECOLI	0.275	0.348
sp|P0AEJ6|EUTB_ECOLI	0.141	0.471
sp|P37329|MODA_ECOLI	1.403	0.0
sp|P64604|MLAD_ECOLI	-0.541	1.335e-06
sp|P77239|CUSB_ECOLI	1.285	0.0
sp|P67087|RSMI_ECOLI	0.181	0.033
sp|P30860|ARTJ_ECOLI	0.418	0.0006571
sp|P09158|SPEE_ECOLI	0.139	0.602
sp|P0AC62|GLRX3_ECOLI	-0.462	0.0008351
sp|P67826|CUTC_ECOLI	-0.618	0.069
sp|P0A8N5|SYK2_ECOLI	-0.075	0.61
sp|P00904|TRPGD_ECOLI	0.307	0.078
sp|P0A7M9|RL31_ECOLI	-0.382	0.017
sp|P0AB80|ILVE_ECOLI	-0.797	1.332e-15
sp|P04693|TYRB_ECOLI	0.31	0.002
sp|P0A8H6|YIHI_ECOLI	0.339	0.007
sp|P77395|CNOX_ECOLI	-0.011	0.785
sp|P27298|OPDA_ECOLI	0.314	8.837e-07
sp|P0AEM0|FKBX_ECOLI	0.607	0.004
sp|P37773|MPL_ECOLI	-0.172	0.258
sp|P77212|RCLA_ECOLI	0.007	0.877
sp|P31142|THTM_ECOLI	0.609	8.756e-07
sp|P69428|TATA_ECOLI	0.152	0.542
sp|P75777|YBHG_ECOLI	0.15	0.856
sp|P0A6T3|GAL1_ECOLI	1.385	8.571e-08
sp|P04391|OTC1_ECOLI	0.198	0.184
sp|P0A9E5|FNR_ECOLI	0.567	0.043
sp|P0A7A2|GPMB_ECOLI	0.9	3.687e-06
sp|P31547|METI_ECOLI	-0.696	0.057
sp|P22523|MUKB_ECOLI	-0.183	0.004
sp|P0AFM9|PSPB_ECOLI	0.07	0.84
sp|P46853|YHHX_ECOLI	-0.144	0.314
sp|P0ADA5|YAJG_ECOLI	0.278	0.122
sp|P27828|WECB_ECOLI	-0.853	0.0001504
sp|P0AAC6|YCCA_ECOLI	-0.098	0.702
sp|P00350|6PGD_ECOLI	-0.389	1.463e-11
sp|P07639|AROB_ECOLI	0.214	0.089
