P52143	ypjA
P52140	yfjY
P52141	yfjZ
P77427	ybeU
Q8FEY4	ratA
rpiR	rpiR
P39196	lplT
P39199	prmB
P09323	nagE
Q8X9L0	ftsH
rpmD	rpmD
P77610	ansP
rpmC	rpmC
P77611	rsxC
rpmF	rpmF
rpmE	rpmE
sspB	sspB
def	def
rpmB	rpmB
rpmA	rpmA
sspA	sspA
P77619	yfeW
yuaX	yuaX
P39337	yjgM
yuaY	yuaY
rpmH	rpmH
P39336	yjgL
rpmG	rpmG
P77615	ycjW
P39338	yjgN
P77616	yqiH
rpmI	rpmI
P39344	idnT
rplS	rplS
P39343	idnR
rplR	rplR
P39346	idnD
rplU	rplU
rplT	rplT
P15373	prlF
rplO	rplO
gpmI	gpmI
rplN	rplN
P39342	yjgR
rplQ	rplQ
rplP	rplP
rplW	rplW
rplV	rplV
rplY	rplY
rplX	rplX
P28697	mbiA
rplC	rplC
rplB	rplB
rplE	rplE
P77601	ykgA
P28696	yaaI
rplD	rplD
rplA	rplA
rplK	rplK
P77607	yagL
rplJ	rplJ
P77608	mhpD
rplM	rplM
B7LU79	ilvC
P77609	flxA
rplL	rplL
P39325	ytfQ
rplF	rplF
gpmA	gpmA
P39328	ytfT
rplI	rplI
gpmB	gpmB
P39333	bdcA
P39332	yjgH
B7LU82	ilvD
P39334	bdcR
rpoE	rpoE
P77634	ybcM
rpoB	rpoB
rpoA	rpoA
rpoD	rpoD
rpoC	rpoC
P76308	yecR
rpoN	rpoN
mraW	rsmH
gppA	gppA
B7LU47	dapF
P39315	qorB
P16679	phnL
ydbK	ydbK
P16678	phnK
P39314	ytfF
P16677	phnC
P39317	ytfI
P16676	cysA
P16686	phnH
dgt	dgt
P16685	phnG
P39321	tamB
P16684	phnF
cueO	cueO
ydbA	ydbA
P65643	eutT
B7M650	pepQ
P16682	phnD
ydbC	pdxI
P16681	yjdN
nudC	nudC
tesB	tesB
nudF	nudF
nudE	nudE
P77622	ddpF
P30979	ybeF
P39308	yjfZ
tesA	tesA
P39309	ytfA
P39304	ulaD
P77624	yahI
P16689	phnM
P77625	hxpA
P16688	phnJ
P39306	ulaF
P77626	sutR
P16687	phnI
P39305	ulaE
P77627	ybeR
